Filename,FieldName,FieldAlias,Type,Length,Scale
下辖县市区评价图斑,单位地区生产总值建设用地使用面积下降率,EGCI1,Double,8,2
下辖县市区评价图斑,单位地区生产总值增长消耗新增建设用地量,EGCI2,Double,8,2
下辖县市区评价图斑,EGCI3,EGCI3,Double,8,2
下辖县市区评价图斑,总指数对应的综合土地利用状况类型,ZHTDLYZK,Char,4,0
下辖县市区评价图斑,利用强度指数土地利用状况类型,UIITDLYZK,Char,4,0
下辖县市区评价图斑,增长耗地土地利用状况类型,GCITDLYZK,Char,4,0
下辖县市区评价图斑,用地弹性土地利用状况类型,EITDLYZK,Char,4,0
下辖县市区评价图斑,管理绩效土地利用状况类型,APITDLYZK,Char,4,0
下辖县市区评价图斑,常住人口增长幅度,ZRKZF,Double,8,2
下辖县市区评价图斑,城乡建设用地增长幅度,CXYDZF,Double,8,2
下辖县市区评价图斑,CZRKZF,CZRKZF,Double,8,2
下辖县市区评价图斑,城镇工矿用地增长幅度,CGYDZF,Double,8,2
下辖县市区评价图斑,常住农村人口增长幅度,CNRKZF,Double,8,2
下辖县市区评价图斑,户籍农业人口增长幅度,HNRKZF,Double,8,2
下辖县市区评价图斑,村庄用地增长幅度,CZYDZF,Double,8,2
下辖县市区评价图斑,地区生产总值增长幅度,SCZZZZFD,Double,8,2
下辖县市区评价图斑,建设用地增长幅度,JSZZFD,Double,8,2
下辖县市区评价图斑,UII,UII,Double,8,2
下辖县市区评价图斑,GCI,GCI,Double,8,2
下辖县市区评价图斑,EI,EI,Double,8,2
下辖县市区评价图斑,API,API,Double,8,2
下辖县市区评价图斑,PUII,PUII,Double,8,2
下辖县市区评价图斑,EUII,EUII,Double,8,2
下辖县市区评价图斑,PGCI,PGCI,Double,8,2
下辖县市区评价图斑,EGCI,EGCI,Double,8,2
下辖县市区评价图斑,PEI,PEI,Double,8,2
下辖县市区评价图斑,EEI,EEI,Double,8,2
下辖县市区评价图斑,ULAPI,ULAPI,Double,8,2
下辖县市区评价图斑,批而未供土地处置比率,ULAPI1,Double,8,2
下辖县市区评价图斑,闲置王地处置比率,ULAPI2,Double,8,2
下辖县市区评价图斑,城乡建设用地人口密度,PUII1,Double,8,2
区域建设用地基本信息注记,目标标识码,MBBSM,Int,10,0
区域建设用地基本信息注记,要素代码,YSDM,Char,10,0
区域建设用地基本信息注记,注记内容,ZJNR,Char,60,0
区域建设用地基本信息注记,字体,ZJZT,Char,4,0
区域建设用地基本信息注记,颜色,ZJYS,Char,12,0
区域建设用地基本信息注记,磅数,ZJBS,Short,4,0
区域建设用地基本信息注记,形状,ZJXZ,Char,1,0
区域建设用地基本信息注记,下划线,ZJXH,Char,1,0
区域建设用地基本信息注记,宽度,KD,Double,15,1
区域建设用地基本信息注记,高度,GD,Double,15,1
区域建设用地基本信息注记,间隔,JG,Float,6,2
